ID,time,x,y
1.0,0.0,907.1774291992188,1466.5645751953125
2.0,0.0,1066.625,1470.9190673828125
3.0,0.0,1035.1666259765625,1449.0128173828125
4.0,0.0,1402.4705810546875,1233.61767578125
5.0,0.0,961.1034545898438,1201.862060546875
6.0,0.0,1114.3521728515625,875.6760864257812
7.0,0.0,1049.22216796875,860.7936401367188
8.0,0.0,1085.763671875,766.5090942382812
9.0,0.0,227.23809814453125,618.0
10.0,0.0,1486.48486328125,324.0909118652344
11.0,0.0,1250.3095703125,315.452392578125
2.0,1.0,1066.3603515625,1471.301513671875
1.0,1.0,910.5454711914062,1466.4241943359375
3.0,1.0,1034.62109375,1449.16845703125
5.0,1.0,961.4166870117188,1202.2083740234375
12.0,1.0,1027.047607421875,897.1428833007812
6.0,1.0,1114.9630126953125,875.6419677734375
7.0,1.0,1049.3333740234375,861.6666870117188
8.0,1.0,1084.673095703125,765.3076782226562
9.0,1.0,227.52174377441406,617.7391357421875
10.0,1.0,1486.47216796875,324.8333435058594
11.0,1.0,1250.8292236328125,315.56097412109375
2.0,2.0,1066.9666748046875,1471.3582763671875
1.0,2.0,914.1972045898438,1465.9295654296875
3.0,2.0,1035.4951171875,1450.378662109375
13.0,2.0,1403.25,1233.5357666015625
5.0,2.0,961.5238037109375,1202.3809814453125
6.0,2.0,1114.3477783203125,875.4058227539062
7.0,2.0,1049.047607421875,862.7142944335938
8.0,2.0,1082.176513671875,763.3921508789062
10.0,2.0,1486.625,324.21875
11.0,2.0,1249.5640869140625,316.1794738769531
14.0,3.0,894.2380981445312,1781.1904296875
2.0,3.0,1066.88037109375,1471.4615478515625
1.0,3.0,917.2083129882812,1466.7083740234375
3.0,3.0,1036.6104736328125,1449.73681640625
13.0,3.0,1402.8857421875,1234.3428955078125
5.0,3.0,961.3043212890625,1202.3477783203125
15.0,3.0,1045.8966064453125,905.137939453125
6.0,3.0,1114.06494140625,875.2467651367188
7.0,3.0,1049.565185546875,862.5072631835938
8.0,3.0,1079.5,762.0961303710938
16.0,3.0,227.30435180664062,618.04345703125
10.0,3.0,1485.697021484375,325.0303039550781
11.0,3.0,1249.5897216796875,316.1025695800781
14.0,4.0,894.0,1779.5909423828125
2.0,4.0,1066.584716796875,1471.296630859375
1.0,4.0,918.5540771484375,1468.4189453125
3.0,4.0,1036.868408203125,1449.0
13.0,4.0,1402.3792724609375,1233.413818359375
5.0,4.0,961.4347534179688,1202.04345703125
17.0,4.0,267.28570556640625,1054.761962890625
15.0,4.0,1041.1922607421875,908.6538696289062
18.0,4.0,1020.5999755859375,903.7999877929688
6.0,4.0,1114.011474609375,874.712646484375
7.0,4.0,1049.8714599609375,862.7857055664062
8.0,4.0,1078.26416015625,760.2830200195312
16.0,4.0,227.0454559326172,618.0454711914062
